id,country,pretty_link
5876087,Singapore,"<div><a href=""/places/default/view/Singapore-203""><img src=""/places/static/images/flags/sg.png"" /> Singapore</a></div>"
5876088,Sint Maarten,"<div><a href=""/places/default/view/Sint-Maarten-204""><img src=""/places/static/images/flags/sx.png"" /> Sint Maarten</a></div>"
5876089,Slovakia,"<div><a href=""/places/default/view/Slovakia-205""><img src=""/places/static/images/flags/sk.png"" /> Slovakia</a></div>"
5876090,Slovenia,"<div><a href=""/places/default/view/Slovenia-206""><img src=""/places/static/images/flags/si.png"" /> Slovenia</a></div>"
5876091,Solomon Islands,"<div><a href=""/places/default/view/Solomon-Islands-207""><img src=""/places/static/images/flags/sb.png"" /> Solomon Islands</a></div>"
5876092,Somalia,"<div><a href=""/places/default/view/Somalia-208""><img src=""/places/static/images/flags/so.png"" /> Somalia</a></div>"
5876093,South Africa,"<div><a href=""/places/default/view/South-Africa-209""><img src=""/places/static/images/flags/za.png"" /> South Africa</a></div>"
5876094,South Georgia and the South Sandwich Islands,"<div><a href=""/places/default/view/South-Georgia-and-the-South-Sandwich-Islands-210""><img src=""/places/static/images/flags/gs.png"" /> South Georgia and the South Sandwich Islands</a></div>"
5876095,South Korea,"<div><a href=""/places/default/view/South-Korea-211""><img src=""/places/static/images/flags/kr.png"" /> South Korea</a></div>"
5876096,South Sudan,"<div><a href=""/places/default/view/South-Sudan-212""><img src=""/places/static/images/flags/ss.png"" /> South Sudan</a></div>"
5876097,Spain,"<div><a href=""/places/default/view/Spain-213""><img src=""/places/static/images/flags/es.png"" /> Spain</a></div>"
5876098,Sri Lanka,"<div><a href=""/places/default/view/Sri-Lanka-214""><img src=""/places/static/images/flags/lk.png"" /> Sri Lanka</a></div>"
5876099,Sudan,"<div><a href=""/places/default/view/Sudan-215""><img src=""/places/static/images/flags/sd.png"" /> Sudan</a></div>"
5876100,Suriname,"<div><a href=""/places/default/view/Suriname-216""><img src=""/places/static/images/flags/sr.png"" /> Suriname</a></div>"
5876101,Svalbard and Jan Mayen,"<div><a href=""/places/default/view/Svalbard-and-Jan-Mayen-217""><img src=""/places/static/images/flags/sj.png"" /> Svalbard and Jan Mayen</a></div>"
5876102,Swaziland,"<div><a href=""/places/default/view/Swaziland-218""><img src=""/places/static/images/flags/sz.png"" /> Swaziland</a></div>"
5876103,Sweden,"<div><a href=""/places/default/view/Sweden-219""><img src=""/places/static/images/flags/se.png"" /> Sweden</a></div>"
5876104,Switzerland,"<div><a href=""/places/default/view/Switzerland-220""><img src=""/places/static/images/flags/ch.png"" /> Switzerland</a></div>"
5876105,Syria,"<div><a href=""/places/default/view/Syria-221""><img src=""/places/static/images/flags/sy.png"" /> Syria</a></div>"
5876106,Taiwan,"<div><a href=""/places/default/view/Taiwan-222""><img src=""/places/static/images/flags/tw.png"" /> Taiwan</a></div>"
5876107,Tajikistan,"<div><a href=""/places/default/view/Tajikistan-223""><img src=""/places/static/images/flags/tj.png"" /> Tajikistan</a></div>"
5876108,Tanzania,"<div><a href=""/places/default/view/Tanzania-224""><img src=""/places/static/images/flags/tz.png"" /> Tanzania</a></div>"
5876109,Thailand,"<div><a href=""/places/default/view/Thailand-225""><img src=""/places/static/images/flags/th.png"" /> Thailand</a></div>"
5876110,Togo,"<div><a href=""/places/default/view/Togo-226""><img src=""/places/static/images/flags/tg.png"" /> Togo</a></div>"
5876111,Tokelau,"<div><a href=""/places/default/view/Tokelau-227""><img src=""/places/static/images/flags/tk.png"" /> Tokelau</a></div>"
5876112,Tonga,"<div><a href=""/places/default/view/Tonga-228""><img src=""/places/static/images/flags/to.png"" /> Tonga</a></div>"
5876113,Trinidad and Tobago,"<div><a href=""/places/default/view/Trinidad-and-Tobago-229""><img src=""/places/static/images/flags/tt.png"" /> Trinidad and Tobago</a></div>"
5876114,Tunisia,"<div><a href=""/places/default/view/Tunisia-230""><img src=""/places/static/images/flags/tn.png"" /> Tunisia</a></div>"
5876115,Turkey,"<div><a href=""/places/default/view/Turkey-231""><img src=""/places/static/images/flags/tr.png"" /> Turkey</a></div>"
5876116,Turkmenistan,"<div><a href=""/places/default/view/Turkmenistan-232""><img src=""/places/static/images/flags/tm.png"" /> Turkmenistan</a></div>"
5876117,Turks and Caicos Islands,"<div><a href=""/places/default/view/Turks-and-Caicos-Islands-233""><img src=""/places/static/images/flags/tc.png"" /> Turks and Caicos Islands</a></div>"
5876118,Tuvalu,"<div><a href=""/places/default/view/Tuvalu-234""><img src=""/places/static/images/flags/tv.png"" /> Tuvalu</a></div>"
5876119,U.S. Virgin Islands,"<div><a href=""/places/default/view/US-Virgin-Islands-235""><img src=""/places/static/images/flags/vi.png"" /> U.S. Virgin Islands</a></div>"
5876120,Uganda,"<div><a href=""/places/default/view/Uganda-236""><img src=""/places/static/images/flags/ug.png"" /> Uganda</a></div>"
5876121,Ukraine,"<div><a href=""/places/default/view/Ukraine-237""><img src=""/places/static/images/flags/ua.png"" /> Ukraine</a></div>"
5876122,United Arab Emirates,"<div><a href=""/places/default/view/United-Arab-Emirates-238""><img src=""/places/static/images/flags/ae.png"" /> United Arab Emirates</a></div>"
5876123,United Kingdom,"<div><a href=""/places/default/view/United-Kingdom-239""><img src=""/places/static/images/flags/gb.png"" /> United Kingdom</a></div>"
5876124,United States,"<div><a href=""/places/default/view/United-States-240""><img src=""/places/static/images/flags/us.png"" /> United States</a></div>"
5876125,United States Minor Outlying Islands,"<div><a href=""/places/default/view/United-States-Minor-Outlying-Islands-241""><img src=""/places/static/images/flags/um.png"" /> United States Minor Outlying Islands</a></div>"
5876126,Uruguay,"<div><a href=""/places/default/view/Uruguay-242""><img src=""/places/static/images/flags/uy.png"" /> Uruguay</a></div>"
5876127,Uzbekistan,"<div><a href=""/places/default/view/Uzbekistan-243""><img src=""/places/static/images/flags/uz.png"" /> Uzbekistan</a></div>"
5876128,Vanuatu,"<div><a href=""/places/default/view/Vanuatu-244""><img src=""/places/static/images/flags/vu.png"" /> Vanuatu</a></div>"
5876129,Vatican,"<div><a href=""/places/default/view/Vatican-245""><img src=""/places/static/images/flags/va.png"" /> Vatican</a></div>"
5876130,Venezuela,"<div><a href=""/places/default/view/Venezuela-246""><img src=""/places/static/images/flags/ve.png"" /> Venezuela</a></div>"
5876131,Vietnam,"<div><a href=""/places/default/view/Vietnam-247""><img src=""/places/static/images/flags/vn.png"" /> Vietnam</a></div>"
5876132,Wallis and Futuna,"<div><a href=""/places/default/view/Wallis-and-Futuna-248""><img src=""/places/static/images/flags/wf.png"" /> Wallis and Futuna</a></div>"
5876133,Western Sahara,"<div><a href=""/places/default/view/Western-Sahara-249""><img src=""/places/static/images/flags/eh.png"" /> Western Sahara</a></div>"
5876134,Yemen,"<div><a href=""/places/default/view/Yemen-250""><img src=""/places/static/images/flags/ye.png"" /> Yemen</a></div>"
5876135,Zambia,"<div><a href=""/places/default/view/Zambia-251""><img src=""/places/static/images/flags/zm.png"" /> Zambia</a></div>"
5876136,Zimbabwe,"<div><a href=""/places/default/view/Zimbabwe-252""><img src=""/places/static/images/flags/zw.png"" /> Zimbabwe</a></div>"
